product,horizon,feature,condition,threshold,in_mean,out_mean,out_t,n_out,fire_rate
VEV_5300,200,time_premium,>=,56.5,-6.598,-11.119047619047619,-77.43854263357225,126,0.021006711409395973
VELVETFRUIT_EXTRACT,200,cum_Mark 22,>=,0.0,-6.907,-21.39012738853503,-76.95388079621385,314,0.027315436241610737
VEV_5300,200,cum_Mark 01,<=,0.0,-2.9804469273743015,-9.179331306990882,-71.29359625364694,329,0.023053691275167786
VEV_5300,200,cum_Mark 22,>=,0.0,-2.9804469273743015,-9.179331306990882,-71.29359625364694,329,0.023053691275167786
VEV_5300,200,time_premium,>=,54.5,-4.862663906142167,-10.51875,-70.36860452920605,160,0.053993288590604024
VEV_5300,200,vfe_mid,>=,5271.0,-2.899730042421905,-9.393162393162394,-69.53556904533482,468,0.10271812080536913
VEV_5300,200,tp_roll,>=,49.95,-2.328321245356448,-9.260942760942761,-68.91578835065869,297,0.2000672494956288
VEV_5200,200,vfe_mid,>=,5271.0,-4.355379868877748,-15.48611111111111,-68.56502979894248,468,0.10271812080536913
VEV_5100,200,vfe_mid,>=,5271.0,-5.627844195912071,-19.916666666666668,-66.91361644191232,468,0.10271812080536913
VEV_5300,200,tp_roll,>=,52.3225,-2.9340942562592045,-9.538610038610038,-66.83402156767757,259,0.1000336247478144
VEV_5000,200,vfe_mid,>=,5271.0,-6.182028538372541,-21.732905982905983,-66.51253758493792,468,0.10271812080536913
VEV_4500,200,vfe_mid,>=,5271.0,-6.462205939066718,-22.386752136752136,-66.12214607966536,468,0.10271812080536913
VEV_4000,200,vfe_mid,>=,5271.0,-6.4623987659082145,-22.405982905982906,-65.88588267471451,468,0.10271812080536913
VEV_5300,200,cum_Mark 01,<=,6.0,-0.5682800345721694,-8.654228855721392,-65.7598355055164,402,0.05231543624161074
VEV_5300,200,cum_Mark 22,>=,-6.0,-0.5682800345721694,-8.654228855721392,-65.7598355055164,402,0.05231543624161074
VEV_5300,200,time_premium,>=,53.0,-3.625839519264758,-10.217142857142857,-65.22146765173798,175,0.10080536912751678
VEV_5300,200,time_premium,>=,50.0,-2.469908166612004,-10.061538461538461,-63.11924264115828,195,0.2111744966442953
VEV_5300,200,tp_roll,>=,53.7725,-3.5820717131474105,-9.687234042553191,-63.07072939730649,235,0.05010087424344317
VEV_5200,200,vfe_mid,>=,5280.5,-4.289640591966173,-15.747340425531915,-62.711720469286,188,0.022181208053691275
VEV_5300,200,vfe_mid,>=,5275.5,-3.2194732641660018,-9.928308823529411,-61.915506982997535,272,0.051174496644295304
VEV_5000,200,vfe_mid,>=,5280.5,-5.920718816067653,-21.54787234042553,-61.73791090606482,188,0.022181208053691275
VEV_4500,200,vfe_mid,>=,5280.5,-6.1257928118393234,-22.21276595744681,-61.30798132239838,188,0.022181208053691275
VEV_5100,200,vfe_mid,>=,5280.5,-5.489429175475687,-19.66755319148936,-60.96358720553082,188,0.022181208053691275
VEV_4000,200,vfe_mid,>=,5280.5,-6.099365750528541,-22.319148936170212,-60.916678547994934,188,0.022181208053691275
VEV_5300,200,vfe_mid,>=,5280.5,-2.949260042283298,-9.946808510638299,-60.87987204723086,188,0.022181208053691275
VEV_5200,200,vfe_mid,>=,5275.5,-4.828411811652035,-16.051470588235293,-60.584145413526535,272,0.051174496644295304
VEV_5000,200,vfe_mid,>=,5275.5,-6.742617717478053,-22.21875,-57.87475382755086,272,0.051174496644295304
VEV_5100,200,vfe_mid,>=,5275.5,-6.166799680766161,-20.323529411764707,-57.723656518284876,272,0.051174496644295304
VEV_4500,200,vfe_mid,>=,5275.5,-6.994413407821229,-22.91360294117647,-57.55352344068775,272,0.051174496644295304
VEV_4000,200,vfe_mid,>=,5275.5,-6.982043096568236,-22.981617647058822,-57.27467125929729,272,0.051174496644295304
